FULL_NAME,CAS_REGISTRY_NUM,vintage,mean_concentration_black,mean_concentration_amerind,mean_concentration_hispanic,mean_concentration_asian,mean_concentration_pacisl,mean_concentration_nhw,mean_concentration_lowinc,mean_concentration_verylowinc,mean_concentration_medhighinc,contributing_pws
TRIBROMOMETHANE,75-25-2,syr4,0.854215929100753,1.25711905994747,1.85930921823675,1.29807307957783,1.35545076537078,1.05957733950066,1.27558216349361,1.26449869030017,1.18126712519129,32867
DICHLOROMONOBROMOMETHANE,75-27-4,syr4,5.75943706418506,5.28666510200834,4.94751913633538,4.94810097848179,3.19901417097625,5.19937673247451,5.205134010988,5.24946714925063,5.20025001703748,32897
TRICHLOROACETIC ACID,76-03-9,syr4,7.35905602648132,5.80312016975321,4.97079654970222,6.1848030720629,3.53834335872067,5.53966158677613,5.83747930311344,6.06630924873028,5.64486951968233,28172
DICHLOROACETIC ACID,79-43-6,syr4,8.19836449673502,6.72194780863034,5.95082491369882,6.75836026720161,4.27629695131767,6.60358272707617,6.87495684880865,7.05377779842486,6.59666048730545,28177
17-ALPHA-ETHYNYLESTRADIOL,57-63-6,ucmr3,0.000637631380550265,0.000636713795272495,0.000636867571266232,0.000636819730355762,0.00063649086695218,0.000636967025557772,0.000637284779068484,0.000637399932504245,0.000636929628323727,1082
17-BETA-ESTRADIOL,50-28-2,ucmr3,0.000282848208426272,0.000282852162131727,0.00028285125877616,0.00028285088197688,0.000282863110484367,0.000282853967806261,0.000282854964707414,0.000282856111889492,0.000282851003874464,1082
"4-ANDROSTENE-3,17-DIONE",63-05-8,ucmr3,0.000217389018628362,0.000214763503176353,0.00021641109768153,0.000216329510844817,0.000214040511333496,0.000215496599634809,0.000216512438646954,0.000216610532060882,0.000215911867948048,1082
ESTRONE,53-16-7,ucmr3,0.0014142135623731,0.0014142135623731,0.0014142135623731,0.00141421356237309,0.0014142135623731,0.0014142135623731,0.0014142135623731,0.0014142135623731,0.0014142135623731,1082
TESTOSTERONE,58-22-0,ucmr3,0.0000716640877111424,0.0000711580704280862,0.000071407482514412,0.0000713566360245898,0.0000711366439798622,0.0000714118657860785,0.000071575096432161,0.000071646734578297,0.000071386330285582,1082
ACETOCHLOR,34256-82-1,ucmr2,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1.4142135623731,1042
NDBA,924-16-3,ucmr2,0.0028286412322549,0.0028286586811784,0.0028286181406063,0.00282852667948652,0.00282861249890015,0.00282853511917444,0.00282858416937662,0.00282858877848927,0.00282857296244892,1042
NDEA,55-18-5,ucmr2,0.00363706377390183,0.00355889032587973,0.00354930510927975,0.00355539617380922,0.00354427361940514,0.00356259045803053,0.00357733577713204,0.00358263619836297,0.00356994699460422,1042
NDMA,62-75-9,ucmr2,0.00197406547736632,0.00187244235463227,0.00194036693709607,0.00175958288852586,0.00159354885304218,0.00188419277127952,0.00194340812502442,0.00195533710342382,0.00188205417735418,1042
NDPA,621-64-7,ucmr2,0.00494974746830583,0.00494974746830583,0.00494974746830583,0.00494974746830583,0.00494974746830583,0.00494974746830583,0.00494974746830583,0.00494974746830583,0.00494974746830584,1042
NMEA,10595-95-6,ucmr2,0.00212132056931827,0.00212141628292546,0.00212132316711619,0.00212132132722378,0.00212132471364662,0.00212133146400422,0.00212132656019777,0.00212132518356004,0.00212132723586348,1042
NPYR,930-55-2,ucmr2,0.00142207699010127,0.00141772015363024,0.00141692974008696,0.00141915671401758,0.00141575095572772,0.00142107158065388,0.00142008961232973,0.00142037468098679,0.00142001981479148,1042
BROMATE,15541-45-4,syr4,1.65417615812338,1.95560799254287,2.41896577282051,2.43360327224328,2.41161410230819,1.66959019757947,2.01653511018032,2.02557651473517,1.94251772142595,319
MICROCYSTIN-LR,101043-37-2,ucmr4,0.0141650131446033,0.0141421356237309,0.0204562885780022,0.0141421356237309,0.0141421356237309,0.0141965473521656,0.0181756329486466,0.0190733045505143,0.0150772626544253,5
