Analyte,CAS,Subtopic,50th Percentile,75th Percentile,90th Percentile,95th Percentile,Year
Antimony (μg/g CrCl),7440-36-0,Age: 12-19 years,,,,0.1773,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,Age: 12-19 years,,,,,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,Age: 12-19 years,,2.0676,7.7344,12.9232,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,Age: 12-19 years,,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,Age: 12-19 years,0.3464,0.5889,0.9163,1.2622,2010-2011
Barium (μg/g CrCl),7440-39-3,Age: 12-19 years,1.5333,2.3392,3.9422,5.5556,2010-2011
Beryllium (μg/g CrCl),7440-41-7,Age: 12-19 years,,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,Age: 12-19 years,,0.2231,0.327,0.3797,2010-2011
Cesium (μg/g CrCl),7440-46-2,Age: 12-19 years,2.5151,3.356,4.3236,5.4817,2010-2011
Cobalt (μg/g CrCl),7440-48-4,Age: 12-19 years,0.4604,0.7155,1.115,1.393,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,Age: 12-19 years,3.5079,6.0743,8.9017,12.3926,2010-2011
Lead (μg/g CrCl),7439-92-1,Age: 12-19 years,,,0.4345,0.5086,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,Age: 12-19 years,51.7924,73.7417,103.9378,128.9979,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,Age: 12-19 years,,0.8849,1.2535,1.8513,2010-2011
Platinum (μg/g CrCl),7440-06-4,Age: 12-19 years,,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,Age: 12-19 years,1.0246,1.609,2.5718,3.502,2010-2011
Thallium (μg/g CrCl),7440-28-0,Age: 12-19 years,0.1019,0.136,0.1752,0.2167,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,Age: 12-19 years,8.4904,14.4703,22.7456,29.7529,2010-2011
Tungsten (μg/g CrCl),7440-33-7,Age: 12-19 years,0.1303,0.2324,0.4142,0.682,2010-2011
Uranium (μg/g CrCl),7440-61-1,Age: 12-19 years,,,,,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,Age: 12-19 years,,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,Age: 12-19 years,,,0.2375,0.5645,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,Age: 12-19 years,,0.3985,1.5706,5.0892,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,Age: 20 years and older,0.4324,0.9392,2.6076,6.0317,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,Age: 20 years and older,,,0.1176,0.2176,2010-2011
Antimony (μg/g CrCl),7440-36-0,Age: 20 years and older,,,,0.1526,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,Age: 20 years and older,,,,0.5512,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,Age: 20 years and older,1.3021,7.8448,27.1764,51.5784,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,Age: 20 years and older,,,,,2010-2011
